Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.04876/O,PRODUCTOS ALVAREZ SA,Asturias/SILVOTA,"RW, MM, MP, PP",,MP,
10.04877/O,EMBUTIDOS LA TINETENSE SL,Asturias/TINEO,"CP, MM, MP, PP",,MP,
10.04878/O,JAMONES EL CASTILLO SA,Asturias/TINEO,PP,,MP,
10.04879/O,"VALLE, BALLINA Y FERNANDEZ, S.A.",Asturias/GIJON/XIXON,"MM, MP, PP",,MP,
10.04880/O,EMBUTIDOS MAYBE SA,Asturias/LUGONES/LLUGONES,"MM, MP, PP",,MP,
10.04882/O,JAMONES EL CASTILLO SA,Asturias/NOREÑA,PP,,MP,
10.04884/O,JAMONES CAMPO VALLE SL,Asturias/CAMPU LA CARRERA (EL),RW,,MP,
10.04885/O,EMBUTIDOS LA UNION SL,Asturias/MALLEZA,"RW, MM, MP, PP",,MP,
10.04886/O,"EMBUTIDOS CUELLO, SL",Asturias/BIMENES,"MM, MP, PP",,MP,
10.04887/O,FRANCISCO J MONTES ALVAREZ,Asturias/PIÑERA,"MM, MP, PP",,MP,
10.04890/O,MONTES EMBUTIDOS CB,Asturias/GIJON/XIXON,PP,,MP,
10.04901/O,REPRESENTACIONES SUAL SA,Asturias/NAON,"CS, CP, MM, MP",,,
10.04905/O,DORINDA SUÁREZ FERNÁNDEZ,Asturias/NOREÑA,PP,,MP,
10.04907/O,"BLANCO GONZALEZ, AMADOR",Asturias/OVIEDO,RW,,MP,
10.04908/O,"EMBUTIDOS ARTESANOS HERMANOS VIEJO, S.L.",Asturias/CABORANA,PP,,MP,
10.05314/O,EMBUTIDOS LA ALDEA S.L.,Asturias/TINEO,"MM, MP, PP",,MP,
10.05351/O,EMBUTIDOS LA QUINTANA SL,Asturias/NOREÑA,"MM, MP, PP",,MP,
10.05810/O,ALVARO FERNANDEZ GONZALEZ,Asturias/NOREÑA,"CP, MM, MP, PP",,MP,
10.06197/O,SOCIEDAD DE EXPLOTACION DEL MATADERO DE GIJON SA,Asturias/GRANDA DE RIBA,"CS, SH, CP","P, B, C, O, S",,
10.06422/O,LA VEGA DE SAN JULIAN SL,Asturias/SANTUYANO/SAN JULIAN,"MM, MP, PP",,MP,
10.06502/O,BERDASCO E HIJOS SL,Asturias/GRAU/GRADO,"CP, PP",,MP,
10.06846/O,EMBUTIDOS TARAMUNDI SL,Asturias/PRAVIA,"CS, SH, CP, MM, MP","P, B, C, O, S",,
10.07043/O,JP,Asturias/VILLAMAYOR,"MM, MP, PP",,MP,
10.07079/O,EMBUASTUR SL,Asturias/PORCILES,"MM, MP, PP",,MP,
10.07120/O,"MACELO DE ASTURIAS, SA",Asturias/MIERES DEL CAMIN,"SH, CP","P, B, C, O, S",,
10.07198/O,MARCE CB,Asturias/NOREÑA,"CS, RW, CP",,,
10.07326/O,DAVID DE LA RIVA RODRIGUEZ,Asturias/CAMPUMANES,"MM, MP, PP",,MP,
10.07375/O,REPRESENTACIONES DE AVES Y GANADOS SL,Asturias/CORUÑO,"CS, CP, MM, MP, PP",,MP,
10.07446/O,"GARCIA GARCIA, AURORA",Asturias/SAN SALVADOR,"MM, MP, PP",,MP,
10.07558/O,JOSE IGNACIO CORTE ARTOS,Asturias/NAVA,"MM, MP, PP",,MP,
10.07670/O,JUAN ESTEBAN MARTINEZ MONES,Asturias/TRESCARES,"MM, MP, PP",,MP,
10.07675/O,"EMBUTIDOS GARCIA GOMEZ, SL",Asturias/PIEDRAS BLANCAS,"CP, MM, MP, PP",,MP,
10.07833/O,REPRESENTACIONES TASA SL,Asturias/NOREÑA,"CS, CP",,,
10.07938/O,FRIOCARNE ASTURIAS SLU,Asturias/NOREÑA,"RW, CP, MM, MP, PP",,MP,
10.08025/O,EMBUTIDOS JUNTAMAR,Asturias/NOREÑA,PP,,MP,
10.08053/O,"MATADERO DE AVILES, CARNE DE ASTURIAS SL",Asturias/AVILES,"SH, CP","P, B, C, O, S",,
10.08067/O,EVA Y PEPE INES SL,Asturias/PESA (LA),"MM, MP, PP",,MP,
10.08146/O,MATADERO DE JARRIO S.L.,Asturias/JARRIO,"SH, CP","P, B, C, O, S",,
10.08786/O,CARNICAS HICOR SL,Asturias/GIJON/XIXON,"CS, MM, MP, PP",,MP,
10.08843/O,"BLANCO PRADO, JORGE MANUEL",Asturias/BARGANIZA (LA),PP,,,
10.09137/O,EMILIO FERREIRA GARCIA SL,Asturias/ZARREU,"SH, CP","B, C, O",,
10.09139/O,MARIA JOSE PEREZ PAZ,Asturias/FARRAPA (A),SH,B,,
10.09140/O,"ALVAREZ RODRIGUEZ, ISABEL",Asturias/SAN ANTOLIN,"SH, CP","P, B, C, O",,
10.09141/O,"BELSO, CB",Asturias/BELMONTE/BALMONTE,SH,"P, B, C, O",,
10.09386/O,NAVEDA TRADICION SL,Asturias/NAVEDA,"MM, MP, PP",,MP,
10.09388/O,"IGLESIAS MENDEZ, INES",Asturias/RODA (LA),PP,,MP,
10.09566/O,EMBUTIDOS ORTIZ GRAN VIA SIERO SL,Asturias/POLA SIERO (LA),"MM, MP, PP",,MP,
10.09756/O,SANTULAYA SOCIEDAD COOPERATIVA,Asturias/CUEIRAS,"MM, MP, PP",,MP,
10.10031/O,"LA PERUYAL, SL",Asturias/PERUYAL (LA),"MM, MP, PP",,MP,
10.10120/O,CARNICAS DE QUIROS SL,Asturias/FAEDO,"CP, MM, MP, PP",,MP,
10.10121/O,OVILLA SL,Asturias/SOTRONDIO,PP,,MP,
10.10182/O,"DISTRIBUIDORA DE CARNES DE NOREÑA, SL",Asturias/NOREÑA,"CS, RW, CP, MM, MP",,MP,
10.10228/O,"MINGUEZ GAVILANES, LUIS MIGUEL",Asturias/ABLAÑA BAXO,CS,,,
10.10295/O,"IGLESIAS LOPEZ, ANGEL",Asturias/MUÑERA,"MM, MP, PP",,MP,
10.10825/O,"FERNANDEZ GARCIA, AMELIA",Asturias/PRAVIA,"MM, MP, PP",,MP,
10.10934/O,PROD. NATURALES LEBREDO,Asturias/LLEBREDO,PP,,MP,
10.11471/O,EMBUTIDOS MONASTERIO DE OBONA SL,Asturias/TINEO,PP,,MP,
10.11804/O,TRABADINA SL,Asturias/OVIEDO,"CS, CP, MM, MP",,,
10.11884/O,MENUDOS Y CARNES SL,Asturias/TABAZA,"CS, CP, MM, MP",,,
10.12052/O,COOPERATIVA DE AGRICULTORES GIJÓN SOCIEDAD COOPERATIVA ASTUR,Asturias/GIJON/XIXON,"CS, CP, MM, MP, PP",,MP,
10.12057/O,PRODUCTOS NOREÑENSES SL,Asturias/NOREÑA,PP,,MP,
10.12750/O,"CASTRO IGLESIAS, MAGDALENA",Asturias/TURON,"RW, MM, MP, PP",,MP,
10.12955/O,"EMBUTIDOS CARREÑO GONZALEZ, SL",Asturias/CARDES,"CP, PP",,MP,
10.13111/O,GARCIA POO SL,Asturias/GRANDA,"CS, CP, MM, MP",,,
10.13412/O,CARNES FANJUL C.B.,Asturias/SAMIGUEL,"CS, MM, MP, PP",,MP,
10.13783/O,ALIMERKA SA,Asturias/CASTIELLO,"CP, MM, MP",,,
10.13819/O,EMBUTIDOS NATURALES ASTURIANOS S.L.,Asturias/NOREÑA,"CS, CP, MM, MP, PP",,MP,
10.13847/O,CARNICERÍA ARMANDO CB,Asturias/BERRON (EL),PP,,MP,
10.13958/O,ARANGO,Asturias/TINEO,"CP, MM, MP, PP",,MP,
10.14561/O,BERDASCO E HIJOS S.L. (MATADERO DE TINEO),Asturias/TINEO,"SH, CP","P, B, C, O, S",,
10.14619/O,JUAN CARLOS ALPERI PANDO,Asturias/NOREÑA,"CP, MM, MP, PP",,MP,
10.14758/O,"PELLICO LOPEZ, VICTOR MANUEL",Asturias/SOTRES,"MM, MP, PP",,MP,
12.00045/O,VIVA PESCA IMPORT-EXPORT S.L.,Asturias/COLLOTO/CUALLOTO,"CS, PP, FFP",,,
12.00074/O,MOFESA SA,Asturias/ARGAME,PP,,,
12.02014/O,CETAREA EL RINCONIN SA,Asturias/GIJON/XIXON,"RW, PP",,,
12.02972/O,CONSERVAS REMO SL,Asturias/GIJON/XIXON,PP,,,
12.02974/O,FACSA,Asturias/GIJON/XIXON,PP,,,
12.02975/O,GONZALEZ BARRIO SL,Asturias/GIJON/XIXON,"PP, FFP",,,
12.03525/O,CARLOS SUAREZ SUAREZ,Asturias/LUARCA,RW,,,
12.03526/O,CETAREA SPORT SL,Asturias/LUARCA,RW,,,
12.04331/O,CANELMAR SL,Asturias/CADAVEDO,RW,,,
12.04880/O,CONSEJERIA DE MEDIO RURAL Y PESCA,Asturias/CASTROPOL,"RW, DC, PC",,,
12.05125/O,ANGULAS Y PESCADOS GUTIERREZ SL,Asturias/RIBADESELLA,"CS, PP",,,
12.05158/O,CONSERVAS AGROMAR SA,Asturias/GIJON/XIXON,PP,,,
12.05351/O,EL MUSEL SL,Asturias/GIJON/XIXON,RW,,,
12.05380/O,ANGULAS MARI FE CB,Asturias/SOTO DEL BARCO,PP,,,
12.05832/O,"COFRADIA DE PESCADORES ""SAN JUAN BAUTISTA""",Asturias/SAN JUAN DE LA ARENA,AH,,,
12.05833/O,COFRADIA DE PESCADORES SAN PEDRO,Asturias/TAPIA DE CASARIEGO,AH,,,
12.05834/O,RULA ORTIGUEIRA,Asturias/ORTIGUERA,AH,,,
12.05835/O,COFRADIA DE PESCADORES NUESTRA SEÑORA DE LA ATALAY,Asturias/PUERTO DE VEGA,AH,,,
12.05878/O,COFRADIA DE PESCADORES SANTA ANA,Asturias/LLANES,AH,,,
12.05879/O,COFRADIA DE PESCADORES DE BUSTIO,Asturias/BUSTIO,AH,,,
12.05880/O,COFRADIA DE PESCADORES NUESTRA SEÑORA DEL ROSARIO,Asturias/LUARCA,AH,,,
12.05884/O,LONJAGIJON MUSEL SA,Asturias/GIJON/XIXON,AH,,,
12.05889/O,COFRADIA DE PESCADORES VIRGEN DE LA GUIA,Asturias/RIBADESELLA,AH,,,
12.05897/O,COFRADIA PESCADORES VIRGEN DEL CARMEN,Asturias/CUDILLERO,AH,,,
12.05899/O,COFRADIA DE PESCADORES SAN MIGUEL,Asturias/TAZONES,"DC, PC, AH",,,
12.05900/O,COFRADIA DE PESCADORES SANTA MARIA DE SABADA,Asturias/LLASTRES,AH,,,
12.06317/O,PESCADOS Y MARISCOS VILLA CARMEN SL,Asturias/ALMUÑA,"CS, RW, PP",,,
12.06645/O,PESCADOS SANZ SLU,Asturias/GIJON/XIXON,FFP,,,
12.06732/O,BACALAOS EL BARQUERO SA,Asturias/CORUÑO,"CS, PP",,,
12.07781/O,CETAREA ANTROMERO SL,Asturias/ANTROMERO,RW,,,
12.07895/O,FRESGEA SL,Asturias/BARRES,"CS, RW, PP",,,
12.07929/O,COFRADIA DE PESCADORES NUESTRA SEÑORA DEL CARMEN,Asturias/FIGUERAS,AH,,,
12.08269/O,ANGUNALON SL,Asturias/PRAVIA,"PP, FFP",,,
12.08353/O,PISCIFACTORIA DEL ALBA SA,Asturias/AGÜERA,"PP, FFP",,,
12.08374/O,COFRADIA DE PESCADORES STMO. CRISTO DEL SOCORRO,Asturias/LUANCO,AH,,,
12.08690/O,BALLOTA SC,Asturias/CUE,PP,,,
12.08781/O,CONGELADOS BASILIO SA,Asturias/LUGONES/LLUGONES,"CS, PP, FFP",,,
12.08782/O,FRIOBAS BASILIO SL,Asturias/OVIEDO,"CS, PP",,,
12.09159/O,COFRADIA DE PESCADORES STO. ANGEL DE LA GUARDA,Asturias/PORTO (EL)/VIAVELEZ,AH,,,
12.09322/O,PULPO DEL CANTABRICO S.L.,Asturias/AVILES,PP,,,
12.09323/O,CONSERVAS LAUREL SL,Asturias/AVILES,PP,,,
12.09324/O,ASTURPESCA SL,Asturias/AVILES,"CS, PP, FFP",,,
12.09355/O,JUAN CARLOS RODRIGUEZ CANEL,Asturias/PUERTO DE VEGA,RW,,,
12.09526/O,FANPESCO SL,Asturias/GRANDA,"CS, RW, PP",,,
12.09634/O,ALIMERKA SA,Asturias/CASTIELLO,"CS, RW",,,
12.09862/O,PESCADERIA LANZA SL,Asturias/NAVIA,"CS, RW, PP, FFP",,,
12.10056/O,MARISCOS OVIÑANA SL,Asturias/RIEGO ARRIBA,"CS, PP, FFP",,,
12.10079/O,"CANEL GONZALEZ, JUAN MIGUEL",Asturias/PORTO (EL)/VIAVELEZ,RW,,,
12.10176/O,"FRIO CUDILLERO, SL",Asturias/CUDILLERO,"PP, FFP",,,
14.00687/O,HUEVOS DE FARO CB,Asturias/FARO DE ARRIBA,EPC,,,
14.01170/O,GRANJA PILU SL,Asturias/QUINTUELES,EPC,,,
14.01322/O,GRANJAS PORCEYO SL,Asturias/CASARES,EPC,,,
14.01425/O,AVICOLA CARREÑO SL,Asturias/VILLAR DE BAXO,EPC,,,
14.01558/O,"BEPAMAR, SC",Asturias/BOJES,EPC,,,
14.01853/O,"MENENDEZ SUAREZ, MARCELINO",Asturias/BRAÑA (LA),EPC,,,
14.01881/O,"ASTURIANA DE AVICULTURA, SL",Asturias/SAN CUCAO,"CS, EPC",,,
15.00006/O,CORPORACION ALIMENTARIA PEÑASANTA SA,Asturias/GRANDA,"CS, PP",,,
15.00142/O,GRANDERROBLE DESSERTS S.L.,Asturias/QUINTES,PP,,,
15.00236/O,GRANJA LA POLESA SA,Asturias/GRANDA,PP,,,
15.00242/O,QUESERIA LAFUENTE SA,Asturias/ARRIONDES (LES),PP,,,
15.00328/O,INES GRANDA SA,Asturias/LLANES,PP,,,
15.00342/O,NESTLE ESPAÑA SA,Asturias/SEBARES,PP,,,
15.00349/O,INDUSTRIAS LACTEAS ASTURIANAS SA,Asturias/ANLEO,PP,,,
15.00545/O,"ALVAREZ VALLE, JOSE MANUEL",Asturias/SAN MARTIN DE LUIÑA,PP,,,
15.00625/O,QUESOS GORFOLI SL,Asturias/TABORNEDA,PP,,,
15.00664/O,QUESOS MONJE SL,Asturias/PANES,PP,,,
15.00823/O,SCL QUESO DE PEÑAMELLERA,Asturias/ALLES,PP,,,
15.00904/O,INDUSTRIAS LACTEAS MONTEVERDE SA,Asturias/GRANDAS DE SALIME,PP,,,
15.00905/O,MANTEQUERIAS ARIAS SA,Asturias/VEGALENCIA,PP,,,
15.00906/O,JUAN MARTINEZ SL,Asturias/MARCENAO,PP,,,
15.00908/O,MANTEQUERA DE TINEO SA,Asturias/TINEO,PP,,,
15.00910/O,DANONE SA,Asturias/SALAS,PP,,,
15.00913/O,"LÁCTEOS AVILÉS, SA",Asturias/AVILES,PP,,,
15.00914/O,QUESOS LA PERAL SL,Asturias/PERAL (LA),PP,,,
15.00930/O,LA CHIVITA SC,Asturias/BUELLES,PP,,,
15.00969/O,PRODUCTOS COVADONGA SA,Asturias/CANGAS DE ONIS,"RW, PP",,,
15.01008/O,QUESERIA LA PEÑONA SLU,Asturias/SOMADO,"RW, PP",,,
15.01140/O,MARIA JOSEFA SANCHEZ GARCIA,Asturias/PORRUA,PP,,,
15.01276/O,SAT QUESERIA LA PANDIELLA,Asturias/ASIEGO,PP,,,
15.01277/O,"PASTORA MAYOR, SC",Asturias/ARENAS (LAS),PP,,,
15.01310/O,"RODRIGUEZ GARCIA, ALFONSO",Asturias/VILLACONDIDE,PP,,,
15.01329/O,LOS SEBARGUINOS SL,Asturias/AMIEVA,PP,,,
15.01398/O,"FERNANDEZ GONZALEZ, CRISTINA",Asturias/SOTRES,PP,,,
15.01452/O,EO LECHE TARAMUNDI SL,Asturias/TARAMUNDI,PP,,,
15.01459/O,SAT VEGA DE ARIO,Asturias/BENIA DE ONIS,PP,,,
15.01469/O,COLSA DERIVADOS LACTEOS C.B.,Asturias/LLANES,RW,,,
15.01540/O,"FERNANDEZ LABRA, FRANCISCO JAVIER",Asturias/SOTRES,PP,,,
15.01561/O,"QUESERIA ARTESANA TEMIA, SL",Asturias/GRAU/GRADO,PP,,,
15.01607/O,QUESERIA ARTESANA DE VIDIAGO SL,Asturias/PUERTAS,PP,,,
15.01677/O,GANADERIA RUENES SL,Asturias/POO,PP,,,
15.01678/O,SAT ROJO PRIETO,Asturias/CANALES,PP,,,
15.01732/O,"CALLEJA AMAGO, CARLOS",Asturias/AMIEVA,PP,,,
15.01752/O,"PEDRO GONZALEZ, MARIA EUGENIA DE",Asturias/BERODIA,PP,,,
15.01787/O,"HERRERO MARTINEZ, FRANCISCO",Asturias/TIELVE,PP,,,
15.01788/O,GANADERIA RIESES SC,Asturias/TIELVE,PP,,,
15.01861/O,S.A.T. QUESO DE VARE,Asturias/VARE,PP,,,
15.02070/O,SAT LA DESÑA,Asturias/ROBELLADA (LA),PP,,,
15.02328/O,MARIA JOSE CORTEGUERA MARTINEZ,Asturias/CORAO,PP,,,
15.02331/O,QUESOS CAMPILLO SL,Asturias/NAVA,"RW, PP",,,
15.02333/O,CUEVA DEL MOLIN SL,Asturias/CARREÑA,PP,,,
15.02335/O,NATALIA LOBETO ALVAREZ,Asturias/CAMPU (EL),PP,,,
15.02352/O,"SOBRECUEVA DOSAL, JUAN JOSE",Asturias/CANGUES D'ONIS/CANGAS DE ONIS,PP,,,
15.02356/O,QUESERIA BADA,Asturias/TIELVE,PP,,,
15.02357/O,"DIAZ HERRERO, ANGEL",Asturias/TIELVE,PP,,,
15.02358/O,AMELIA ORTEGA PEREZ,Asturias/ARENAS (LAS),PP,,,
15.02412/O,"RUBIO LOPEZ, TOMAS",Asturias/VIDIAGO,PP,,,
15.02429/O,SUSANA MARTINEZ RODRIGUEZ,Asturias/CANGUES D'ONIS/CANGAS DE ONIS,PP,,,
15.02437/O,"TANDA TRAVIESA, BEGOÑA",Asturias/AVIN,PP,,,
15.02438/O,PAULA AROBES TOMAS,Asturias/ARENAS (LAS),PP,,,
15.02439/O,"LOPEZ SANCHEZ, DIONISIA",Asturias/SOTRES,PP,,,
15.02462/O,"QUESERIA LA BORBOLLA, CB",Asturias/BORBOLLA (LA),PP,,,
15.02508/O,ESTÉBANEZ GREGORIO SOFIA,Asturias/OCEÑO,PP,,,
15.02582/O,"MARTINEZ FERNANDEZ, FILOMENA",Asturias/AMBAS,PP,,,
15.02605/O,QUESU OVIN CB,Asturias/NAVA,PP,,,
15.02635/O,HORTENSIA TORIELLO VILLANUEVA,Asturias/CANGUES D'ONIS/CANGAS DE ONIS,PP,,,
15.02678/O,ALONSO BARCENA MANUEL,Asturias/CARREÑA,PP,,,
15.02682/O,"BADA HERRERO, JUAN JOSE",Asturias/TIELVE,PP,,,
15.02703/O,"LOPEZ SANCHEZ, RAQUEL",Asturias/SOTRES,PP,,,
15.02708/O,"LOPEZ LOPEZ, VICTORIANO",Asturias/SOTRES,PP,,,
15.02826/O,"HERRERO BALLESTEROS, MARIA CARMEN",Asturias/TIELVE,PP,,,
15.03085/O,"BUENO GARCIA, ANTONIO",Asturias/ASIEGO,PP,,,
15.03163/O,QUESERA DEL CARES SL,Asturias/ARENAS (LAS),PP,,,
15.03164/O,"LOPEZ LOPEZ, AURELIO",Asturias/LLANES,PP,,,
26.00048/O,NESTLE ESPAÑA SA,Asturias/SEBARES,PP,,MP,
26.00143/O,NESTLE ESPAÑA SA,Asturias/GIJON/XIXON,PP,,MP,
26.00291/O,INDUSTRIAS LACTEAS ASTURIANAS SA,Asturias/ANLEO,PP,,,
26.00313/O,HIJOS DE CARLOS ALBO SLU,Asturias/TAPIA DE CASARIEGO,PP,,MP,
26.01103/O,PRODUCTOS NOREÑENSES SL,Asturias/NOREÑA,PP,,MP,
26.04104/O,GONZALEZ LOPEZ CB,Asturias/LLEBREDO,PP,,MP,
26.04351/O,SANTULAYA S COOP,Asturias/CUEIRAS,PP,,MP,
26.05327/O,OVILLA SL,Asturias/SOTRONDIO,PP,,MP,
26.05563/O,CONSERVAS REMO SL,Asturias/GIJON/XIXON,PP,,,
40.02136/O,HIJOS DE LUIS RODRIGUEZ SA,Asturias/LLANERA,CS,,,
40.02757/O,ELMAR FROZEN FOOD SLU,Asturias/SILVOTA,CS,,,
40.02763/O,ASTURQUES SL,Asturias/OLLONIEGO,"CS, RW",,,
40.03051/O,MALAQUIAS MORALES SA,Asturias/GIJON/XIXON,CS,,,
40.03473/O,LISARDO ISMAEL FERNANDEZ RAMIREZ SA,Asturias/VIELLA,"CS, RW",,,
40.05705/O,"ALVAREZ GARCIA, JOSE RAMON",Asturias/OVIEDO,"CS, RW",,,
40.06568/O,SUPERCASH AVILES SL,Asturias/AVILES,CS,,,
40.07152/O,MAKRO AUTOSERVICIO MAYORISTA SA,Asturias/SILVOTA,CS,,,
40.07424/O,VIVAPESCA IMPORT-EXPORT SL,Asturias/COLLOTO/CUALLOTO,CS,,,
40.09639/O,FANDIÑO DISTRIBUIDORA DE CONGELADOS SL,Asturias/AVILES,"CS, RW",,,
40.10712/O,BOFROST SAU,Asturias/VIELLA,CS,,,
40.10835/O,CONGELADOS EGEA SL,Asturias/VALIN,CS,,,
40.10836/O,EXCLUSIVAS DE PERECEDEROS VIMEN SL,Asturias/CAYES,CS,,,
40.11538/O,COOPERATIVA DE AGRICULTORES GIJON SOCIEDAD COOPERATIVA ASTUR,Asturias/GIJON/XIXON,RW,,,
40.11539/O,QUALIANZA SERVICIOS INTEGRALES DE DISTRIBUCION SLU,Asturias/SILVOTA,CS,,,
40.12370/O,EXCLUSIVAS MENDEZ LEON SL,Asturias/BERRON (EL),CS,,,
40.12681/O,"SUPERCASH ASTURIAS, SL",Asturias/GIJON/XIXON,CS,,,
40.12738/O,DISTRIBUCIONES ANGEL DIAZ SL,Asturias/GIJON/XIXON,CS,,,
40.12899/O,LLAMAFRIO SL,Asturias/NAON,"CS, RW",,,
40.13297/O,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACIÓN (DIA), S.A.",Asturias/COLLOTO,CS,,,
40.13439/O,TRANSPORTES FRIGORIFICOS SANDOVAL SL,Asturias/GRANDA,CS,,,
40.13668/O,DISCEAS SL,Asturias/VIELLA,CS,,,
12.10614/O,PRODUCTOS MAR CANTABRICO SL,Asturias/LLASTRES,PP,,,
40.14659/O,SALVESEN LOGISTICA SA,Asturias/VIELLA,CS,,,
10.15015/O,"CUEVA RIESTRA, JOSE FERMIN",Asturias/POLA SIERO (LA),"CP, MM, MP, PP",,MP,
10.15063/O,"CA'L CASEIRO, SL",Asturias/TINEO,"MM, MP, PP",,MP,
26.06363/O,CONSERVAS AGROMAR SA,Asturias/GIJON/XIXON,PP,,MP,
15.04109/O,"GOMEZ FERNANDEZ, GENARO",Asturias/OCEÑO,PP,,,
10.15337/O,INDUSTRIAS CARNICAS TINEO SOCIEDAD COOPERATIVA,Asturias/TINEO,"CP, MM, MP, PP",,MP,
15.04131/O,"TOLOSA POSADA, VICENTE",Asturias/ARENAS (LAS),PP,,,
12.11223/O,PESCADOS SERRANO CB,Asturias/AVILES,RW,,,
12.11224/O,MARQUES LOPEZ PABLO,Asturias/AVILES,RW,,,
10.15416/O,COMERCIALIZADORA SIERENSE DE CARNES SL,Asturias/BERRON (EL),"CS, RW, CP, MM, MP",,MP,
12.11267/O,ROBLEDO PESCADOS Y MARISCOS SL,Asturias/AVILES,CS,,,
12.11319/O,TRABADINA SL,Asturias/OVIEDO,"CS, PP",,,
12.11335/O,CONSERVAS EL VIEJO PESCADOR SL,Asturias/TAPIA DE CASARIEGO,"CS, PP",,,
15.04202/O,"INGUANZO CONCHA, RAFAEL",Asturias/INGUANZO,PP,,,
15.04204/O,Mª EUGENIA PUERTAS LOPEZ,Asturias/SOTRES,PP,,,
40.15617/O,GRUPO EL ARBOL DISTRIBUCION Y SUPERMERCADOS SA,Asturias/GRANDA,CS,,,
40.15698/O,MARIA ANGELES VELASCO GONZALEZ,Asturias/GIJON/XIXON,CS,,,
15.04248/O,PRODUCTOS LACTEOS JOAQUIN PEÑA SL,Asturias/SECA (LA),PP,,,
26.06690/O,ALTA SIERRA DE TINEO SCL,Asturias/TINEO,PP,,MP,
15.04286/O,CASERIA LA MADERA SL,Asturias/SAN PEDRO,PP,,,
26.06741/O,"GARCIA SOLIS, ROBERTO",Asturias/BERRON (EL),PP,,MP,
15.04362/O,"VILLAR BADA, GENARO LAUREANO",Asturias/ALLES,PP,,,
40.16324/O,"IGLESIAS FERNANDEZ, GIL ALBERTO",Asturias/COLORADA (LA),CS,,,
40.16400/O,SEVEN SEAS MARITIME SERVICES SPAIN SAU,Asturias/GIJON/XIXON,CS,,,
40.16402/O,DISTRIBUCION DE PERECEDEROS FAY FRIO SL,Asturias/ARGAME,CS,,,
12.12101/O,COFRADIA DE PESCADORES NTRA SRA DEL ROSARIO,Asturias/CANDAS,AH,,,
10.16353/O,ALIMENTOS EL ARCO SA,Asturias/FELGUERA (LA),RW,,MP,
10.16366/O,MAKRO AUTOSERVICIO MAYORISTA SA,Asturias/SILVOTA,"CS, CP",,,
12.12127/O,MAKRO AUTOSERVICIO MAYORISTA SA,Asturias/SILVOTA,CS,,,
26.07021/O,PESCADERIA LANZA SL,Asturias/COLORADA (LA),PP,,,
12.12230/O,EMILIO JOSE TERRON AGUIRRE,Asturias/AVILES,RW,,,
10.16509/O,CONGELADOS BASILIO SA,Asturias/LUGONES/LLUGONES,,,,
40.16830/O,CONGELADOS BASILIO SA,Asturias/LUGONES/LLUGONES,"CS, RW",,,
10.16649/O,FRIOBAS BASILIO SL,Asturias/OVIEDO,RW,,,
