Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
40.058511/IB,"AGLA GOURMET, SL",Islas Baleares/CIUTADELLA DE MENORCA,RW,,,
15.008175/IB,"BINISERRAIA, SRM",Islas Baleares/MERCADAL (ES),PP,,,
40.059343/IB,RAMADERS AGRUPATS SAT 4054,Islas Baleares/FELANITX,CS,,,
12.022506/IB,"PESCAIBIZA, SL",Islas Baleares/SANT ANTONI DE PORTMANY,CS,,,
14.003255/IB,CASA DE LA MILAGROSA,Islas Baleares/INCA,EPC,,,
40.059344/IB,"DISTRIBUCIONES DE FRESCOS Y CONGELADOS LA NEVERA, SL",Islas Baleares/PALMA,CS,,,
10.026124/IB,"LLURIACH VEY, SRM",Islas Baleares/CIUTADELLA DE MENORCA,PP,,MP,
15.008194/IB,"VINENT QUEVEDO, JUAN CARLOS",Islas Baleares/MAO,PP,,,
40.059499/IB,"COR GELAT, SLL",Islas Baleares/ALAIOR,CS,,,
10.026158/IB,"MARJAL VELLA, SRM",Islas Baleares/CIUTADELLA DE MENORCA,PP,,MP,
40.059929/IB,"ANGLO INTERIMPORT, SL",Islas Baleares/MARRATXI,CS,,,
40.060443/IB,"G. ORTIZ ALIMENTACION, SL",Islas Baleares/PALMA,CS,,,
10.026260/IB,"SON FELIP, SRM",Islas Baleares/CIUTADELLA DE MENORCA,PP,,MP,
12.022675/IB,PESCAPONS SL,Islas Baleares/CIUTADELLA DE MENORCA,CS,,,
40.061420/IB,"DISCAGRAN, SL",Islas Baleares/COLL DE''N RABASSA (ES),CS,,,
40.061421/IB,"TURQUIA EN CASA, SL",Islas Baleares/LLUCMAJOR,CS,,,
10.026301/IB,"PONS ROTGER, SEBASTIA",Islas Baleares/ALAIOR,PP,,MP,
15.008251/IB,"LLURIACH VEY, SRM",Islas Baleares/CIUTADELLA DE MENORCA,PP,,,
10.026307/IB,"CAMARAS FRIGORIFICAS, SA",Islas Baleares/CIUTADELLA DE MENORCA,"CS, CP, MM, MP",,,
40.061903/IB,"CARNES MORA, SL",Islas Baleares/PORRERES,CS,,,
12.022749/IB,"PESCADERIA MARI RIVARES, SL",Islas Baleares/SANT RAFEL,FFP,,,
10.026344/IB,"CA'N MIQUEL DE SA CANOVA, SL",Islas Baleares/CAMPOS,PP,,MP,
40.062708/IB,"FRISCHE PARADIES ESPAÑA, SLU",Islas Baleares/PALMA,CS,,,
40.062709/IB,"XEMAR TOT FRED, SL",Islas Baleares/LLOSETA,CS,,,
10.026399/IB,"REYNES CARRERAS, JUAN MANUEL",Islas Baleares/CASTELL (ES),PP,,MP,
40.062860/IB,"CARNICAS GOZALO POYATOS, SL",Islas Baleares/PALMA,CS,,,
40.063037/IB,"CASTELLON AGUILAR, FRANCISCO",Islas Baleares/PALMA,CS,,,
10.026447/IB,BINIGARBA QUESOS SL,Islas Baleares/CIUTADELLA DE MENORCA,PP,,"BL, MP",
14.003332/IB,"AVICOLA BALLESTER, SA",Islas Baleares/LLUCMAJOR,EPC,,,
10.026502/IB,"DIEGO CARNICERIAS PITIUSAS, SL",Islas Baleares/EIVISSA,"MM, MP",,,
15.008302/IB,"CAVALLERIA, SRM",Islas Baleares/MERCADAL (ES),PP,,,
10.026504/IB,"SOLA MONTFREDI, MANUELA",Islas Baleares/FERRERIES,PP,,MP,
15.008307/IB,"BIANCO LATTE SPAGNA, SL",Islas Baleares/EIVISSA,PP,,,
10.026515/IB,ILLA VERDA SAT BA-38,Islas Baleares/INCA,PP,,MP,
40.063986/IB,"HELADOS Y POSTRES, SA",Islas Baleares/SANT JORDI DE SES SALINES,CS,,,
10.026516/IB,"ALGENDARET NOU, SRM",Islas Baleares/MAO-MAHON,PP,,MP,
40.064053/IB,"EXPLOTACIO AGROPECUARIA SA CANOVA, SL",Islas Baleares/PALMA,CS,,,
14.003342/IB,"CHIRELLI TORLO, RUBEN",Islas Baleares/MARRATXI,EPC,,,
40.064198/IB,"WAMA PRODUCTS, SL",Islas Baleares/PALMA,CS,,,
40.064774/IB,"EMBOTITS MATAS, SL",Islas Baleares/MARIA DE LA SALUT,CS,,,
40.064764/IB,"BOSFORO DORNER KEBAB, SL",Islas Baleares/COLL DE''N RABASSA (ES),CS,,,
40.064815/IB,"AVES CHICO, SL",Islas Baleares/SANT ANTONI DE PORTMANY,CS,,,
10.026604/IB,"LOPEZ ORFILA, NADIA",Islas Baleares/SANT LLUIS,PP,,MP,
10.026605/IB,"SANTA CATALINA, SRM",Islas Baleares/ALAIOR,PP,,MP,
12.023066/IB,"AMENGUAL SERAPIO, MARIA LEONOR",Islas Baleares/PALMA,"CS, PP",,,
12.023071/IB,"PERALTA PEREZ, JESUS",Islas Baleares/PALMA,CS,,,
40.064904/IB,"DISTRIBUCIONES IBIPELMAR, SL",Islas Baleares/PUIG DE''N VALLS,CS,,,
10.026616/IB,"MOYA SAUS E HIJOS, SA",Islas Baleares/PALMA DE MALLORCA,"CP, MM, MP",,,
26.018208/IB,"KAILIN 188, SL",Islas Baleares/SANTA PONÇA,PP,,,
40.064905/IB,"GONZALEZ BALADO, FRANCISCO JAVIER",Islas Baleares/PALMA,CS,,,
40.065017/IB,"AGAMA MANACOR 249, SL",Islas Baleares/PALMA,CS,,,
40.065287/IB,"SEUR GEOPOST, SLU",Islas Baleares/MAO,CS,,,
10.026676/IB,"TUDURI FEBRER, JUANA",Islas Baleares/MAO,PP,,MP,
10.026677/IB,"COMESTIBLES CAN GARI, SL",Islas Baleares/MAO,PP,,MP,
15.008358/IB,"SMOKE HOUSE FOODS, SL",Islas Baleares/PALMA,PP,,,
10.026680/IB,"SMOKE HOUSE FOODS, SL",Islas Baleares/PALMA,PP,,MP,
12.023139/IB,"SMOKE HOUSE FOODS, SL",Islas Baleares/PALMA,PP,,,
10.026723/IB,MISUT MOLES,Islas Baleares/CIUTADELLA DE MENORCA,PP,,MP,
40.065988/IB,"COOPERATIVA AGRICOLA I RAMADERA DE MENORCA, S COOP",Islas Baleares/ALAIOR,RW,,,
40.065991/IB,"ES PLA DISTRIBUCIONS ALIMENTARIES, SL",Islas Baleares/MONTUÏRI,CS,,,
40.066366/IB,"ECRAM-FOOD, SL",Islas Baleares/PALMA,CS,,,
40.066562/IB,"MEDIPEIX, SL",Islas Baleares/PALMA DE MALLORCA,CS,,,
12.023262/IB,"PESCADOS MONTIEL, SL",Islas Baleares/SANT RAFEL,"CS, FFP",,,
40.067046/IB,"MOYA SAUS E HIJOS, SA",Islas Baleares/PALMA DE MALLORCA,CS,,,
10.026845/IB,"SANT JOAN GRAN, SRM",Islas Baleares/CIUTADELLA DE MENORCA,PP,,MP,
15.008432/IB,"SAGITARIO PLAYA, SL",Islas Baleares/CIUTADELLA DE MENORCA,PP,,,
12.023367/IB,"ELABORADOS CALIMAX, SA",Islas Baleares/SANT JORDI DE SES SALINES,"CS, PP, FFP",,,
40.068046/IB,"MORLA SALORD, MIGUEL ANGEL",Islas Baleares/PALMA,"CS, RW",,,
14.003423/IB,"ACOSTA LORENTE, JOSE ANTONIO",Islas Baleares/LLUCMAJOR,EPC,,,
14.003424/IB,"GUASCH TORRES, VICENTE",Islas Baleares/SANT LLORENÇ DE BALAFIA,EPC,,,
40.068759/IB,"CONILLS MALLORQUINS, SL",Islas Baleares/MARRATXI,CS,,,
40.068760/IB,"STREET ITALY, SL",Islas Baleares/LLUCMAJOR,CS,,,
40.068763/IB,"BISTRO CAN FRASQUET, SL",Islas Baleares/PALMA,CS,,,
40.068764/IB,"REPRESENTACIONS COMERCIALS CALA FIGUERA, SL",Islas Baleares/LLUCMAJOR,"CS, RW",,,
12.023474/IB,"BOULEVARD CULINARY PROJECTS, SL",Islas Baleares/MURO,"CS, FFP",,,
10.027044/IB,"MACHADO & MARSOC, SL",Islas Baleares/EIVISSA,"CP, MM, MP",,,
40.068766/IB,"ELABORADOS CALIMAX, SA",Islas Baleares/SANT JORDI DE SES SALINES,CS,,,
12.023475/IB,"BAMBERRY DISTRIBUCION, SL",Islas Baleares/SANTA EULARIA DES RIU,"CS, FFP",,,
12.023476/IB,"MENEGHELLO FISH, SL",Islas Baleares/SANT ANTONI DE PORTMANY,"CS, FFP",,,
15.008500/IB,"SON ABATZER, SRM",Islas Baleares/FERRERIES,PP,,,
15.008503/IB,"SANTA ROSA, SRM",Islas Baleares/CIUTADELLA DE MENORCA,PP,,,
10.027152/IB,"CARNICAS & SUPERMERCADO LUIS, SL",Islas Baleares/SANTA PONÇA,"CP, MM, MP",,,
40.069811/IB,"MILO SUR ALIMENTACIÓN, SL",Islas Baleares/PALMA,CS,,,
15.008532/IB,"LA BURRATA, SL",Islas Baleares/PALMA,PP,,,
14.003467/IB,"AVICOLA SON PEROT, SA",Islas Baleares/MANACOR,EPC,,,
40.070537/IB,"CHEF MIKTOLA, SL",Islas Baleares/LLUCMAJOR,CS,,,
14.003469/IB,"PONS PONS, JUAN J.",Islas Baleares/ALAIOR,EPC,,,
40.070588/IB,"MARANO EXPORT, SL",Islas Baleares/CALVIA,CS,,,
40.070774/IB,"COMERCIAL ITALIANA PALMA, SL",Islas Baleares/PALMA,CS,,,
14.003476/IB,"ADROVER LOPEZ, JUAN CARLOS",Islas Baleares/BINISSALEM,EPC,,,
26.019789/IB,"KATEI ALIMENTACION, SL",Islas Baleares/SANTA MARIA DEL CAMI,PP,,,
10.027323/IB,"EXPLOTACIO AGROPECUARIA SA CANOVA, SL",Islas Baleares/PALMA,CP,,,
40.071250/IB,"BAMBERRY DISTRIBUCION, SL",Islas Baleares/NUESTRA SEÑORA DE JESUS,CS,,,
40.071372/IB,"MARWAN, FARHAD",Islas Baleares/PALMA,CS,,,
10.027363/IB,"PONS PONS, JUAN BOSCO",Islas Baleares/CIUTADELLA DE MENORCA,PP,,MP,
10.027364/IB,"CANAVES PUYOL, PATRICIA",Islas Baleares/INCA,PP,,ST,
10.027400/IB,"FERNANDEZ KOPRA, DESIREE CATERINA",Islas Baleares/CALVIA,CP,,,
40.071970/IB,"FERNANDEZ KOPRA, DESIREE CATERINA",Islas Baleares/CALVIA,CS,,,
12.023859/IB,"DISTRIBUCIONES ANIPAN, SL",Islas Baleares/SANT FRANCESC DE FORMENTERA,"CS, FFP",,,
40.072081/IB,"COMERCIAL FREZZBAR 2019, SL",Islas Baleares/LLUCMAJOR,CS,,,
40.072082/IB,"TOKYOYA, SA",Islas Baleares/PALMA,CS,,,
40.072083/IB,"BALEARES KEBAP AS, SL",Islas Baleares/PALMA,CS,,,
40.072474/IB,"SENSUS MUNDI, SL",Islas Baleares/PALMA,CS,,,
