Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.05585/TF,"Congelados Noemir, SL",Santa Cruz de Tenerife/ROSARIO (EL),"MM, MP, PP",,MP,
10.05904/TF,"CONGELADOS SAN MIGUEL, S.L.",Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA,"RW, MM, MP, PP",,MP,
10.05973/GC,"SANCHEZ DOMINGUEZ, BLAS","Palmas, Las/TEROR",PP,,"BL, MP",
10.06027/TF,CABILDO INSULAR DE EL HIERRO,Santa Cruz de Tenerife/VALVERDE,SH,"P, B, C, O, L",,
10.06033/TF,"Distribuciones Congavias, SL",Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA,"RW, MM, MP",,,
10.06098/GC,"Cruzbe, S.L.","Palmas, Las/TELDE","CP, MM, MP, PP",,MP,
10.06778/GC,"Jucarne, S.L.U.","Palmas, Las/TELDE","CS, RW, CP, MM, MP, PP",,MP,
10.06956/GC,"MERCOFRIO HERNANDEZ SUAREZ, S.L.U.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","MM, MP, PP",,MP,
10.07128/TF,"TEREMERCA, S.L.",Santa Cruz de Tenerife/VALVERDE,PP,,MP,
10.07782/TF,VALENTIN PEÑA CARTAYA S.L.,Santa Cruz de Tenerife/TACORONTE,"SH, CP, MM, MP",A,,
10.08476/GC,"Hilario Torres Yánez e Hijos, S.L.","Palmas, Las/AGÜIMES","CS, CP, MM, MP, PP",,MP,
10.08600/TF,ELPOZO ALIMENTACION S.A.,Santa Cruz de Tenerife/ARAFO,CS,,,
10.08904/TF,MATADERO INSULAR DE TENERIFE. S.A.,Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA,"SH, CP","R, P, B, C, O, L",,
10.08943/GC,CABILDO INSULAR DE LANZAROTE,"Palmas, Las/ARRECIFE",SH,"P, B, C, O, L",,
10.09066/TF,"Comercial Importadora Canarias, S.L.",Santa Cruz de Tenerife/SAN MIGUEL DE ABONA,"RW, MM, MP",,MP,
10.09070/TF,"Bervican La Palma, S.L.",Santa Cruz de Tenerife/PASO (EL),"MM, MP",,,
10.09722/GC,"Europe Meat Producers and Traders, S.A.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","CS, RW, MM, MP",,,
10.09898/TF,PEREZ PADRON MARIA CELESTINA,Santa Cruz de Tenerife/VALVERDE,PP,,MP,
10.10267/GC,"CONGELADOS HERBANIA, S.A.","Palmas, Las/ANTIGUA","RW, CP",,,
10.10421/GC,CABILDO INSULAR DE FUERTEVENTURA,"Palmas, Las/PUERTO DEL ROSARIO",SH,"P, B, C, O, L",,
10.10495/TF,"Comercial Martel Tenerife, SL",Santa Cruz de Tenerife/ADEJE,"MM, MP",,,
10.10519/GC,"GRUPO HERMANOS HERNANDEZ MONTESDEOCA, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,MP,
10.11634/TF,"Toledo Impormit, S.L.",Santa Cruz de Tenerife/ARAFO,"CS, CP, MM, MP, PP",,MP,
10.11663/GC,"Menceyes Food Company, S.L.","Palmas, Las/AGÜIMES","CS, MM, MP, PP",,MP,
10.12467/GC,"Congelados Herbania, S.A.","Palmas, Las/AGÜIMES","CS, RW, MM, MP",,,
10.12685/GC,"Frimancha Canarias, S.L.U.","Palmas, Las/SAN BARTOLOME","CS, RW, CP, MM, MP",,MP,
10.12801/TF,EXCELENTISIMO CABILDO INSULAR DE LA PALMA,Santa Cruz de Tenerife/PASO (EL),SH,"P, B, C, O, L",,
10.13216/GC,EXCMO CABILDO INSULAR DE GRAN CANARIA,"Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",SH,"R, P, A, B, C, O, L",,
10.14169/GC,"HERMET ALIMENTACION, S.L.","Palmas, Las/AGÜIMES","RW, PP",,MP,
10.14229/GC,"Lonaro, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","CS, RW",,,
10.14302/GC,"Argal alimentación, S.A..","Palmas, Las/ARUCAS",CS,,,
10.14342/GC,"Carnes selectas Canarias 2000, S.L.","Palmas, Las/TELDE","CS, RW, CP, MM, MP, PP",,MP,
10.14471/GC,"EMBUTIDOS ARINAGA, S.L.","Palmas, Las/AGÜIMES","MM, MP, PP",,MP,
12.00402/TF,AUTORIDAD PORTUARIA DE SANTA CRUZ DE TENERIFE,Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,"RW, WM",,,
12.01283/TF,"CONGELADOS SAN MIGUEL, S.L.",Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA,RW,,,
12.01299/TF,PESCADOS RAMON E HIJOS S.L.,Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,"CS, FFP",,,
12.01366/GC,"Aframar, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,,
12.01437/TF,MELIAN TEJERA PAULINO,Santa Cruz de Tenerife/GRANADILLA DE ABONA,PP,,,
12.01607/GC,"PESCAESTE, S.A. - B. C. FARRUCO","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",ZV,,,
12.01612/GC,"FREIREMAR, S.A. - B. F. FUNCHO","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",FV,,,
12.02605/GC,"AHUMADERIA DE UGA, S.L.","Palmas, Las/YAIZA",PP,,,
12.03500/GC,"Freiremar, S.A.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","CS, RW, PP, DC, FFP",,,
12.03889/GC,"CONGELADOS HERBANIA, S.A.","Palmas, Las/ANTIGUA",PP,,,
12.04036/TF,"DOMINGO HERNANDEZ RODRIGUEZ, SL",Santa Cruz de Tenerife/TEGUESTE,CS,,,
12.04420/GC,"AHUMADOS PESCASOL, S.L.","Palmas, Las/ARRECIFE","CS, PP, FFP",,,
12.04561/GC,"Canpesca, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",CS,,,
12.04693/GC,"AHUMADOS CANARIOS, S.A.","Palmas, Las/TELDE",PP,,,
12.05186/TF,AHUMADOS TENERIFE S.L.,Santa Cruz de Tenerife/SANTA URSULA,PP,,,
12.05459/GC,RIO ALGAR S.L. - B. C. RIO ALGAR PRIMERO,"Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",ZV,,,
12.05460/GC,COFRADIA DE PESCADORES DE ARGUINEGUIN,"Palmas, Las/MOGAN",AH,,,
12.05570/GC,"Grupo Azul Difusión Gastronómica, S.L.","Palmas, Las/SAN BARTOLOME",PP,,,
12.05656/GC,"MARTIN DORADO, JOSE ANTONIO","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",DC,,,
12.05669/GC,"INVERPESCA FISH, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","PP, FFP",,,
12.05785/GC,"Peñamar del Atlántico, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","PP, FFP",,,
12.06513/TF,PESCADOS GOYO S.L.,Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,"CS, RW, PP",,,
12.06587/TF,SOCIEDAD COOPERATIVA DEL MAR PESCARESTINGA,Santa Cruz de Tenerife/PINAR DE EL HIERRO (EL),CS,,,
12.06616/GC,COFRADIA DE PESCADORES PLAYA DE MOGAN,"Palmas, Las/MOGAN",AH,,,
12.06617/GC,"DORADAS Y LUBINAS CANARIAS DE CRIANZA, S.L. (DYLCAN)","Palmas, Las/INGENIO",FFP,,,
12.06665/GC,"CUBAMAR, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",CS,,,
12.07358/GC,"FREIREMAR, S.A. - B.F. FIGARO","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",FV,,,
12.07552/GC,"BELOWPESCA, S.L.","Palmas, Las/TELDE","RW, PP",,,
12.07591/GC,"CONGELADOS SUSANA, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,,
12.07612/GC,"Congelados Herbania, S.A.","Palmas, Las/AGÜIMES","RW, PP",,,
12.07717/GC,"FISH SPAIN, S.L. - B.C. PLAYA DE BARRA","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",ZV,,,
12.08758/GC,"Frimancha Canarias, S.L.U.","Palmas, Las/SAN BARTOLOME",RW,,,
12.08871/TF,"Comercial Importadora Canarias, S.L.",Santa Cruz de Tenerife/SAN MIGUEL DE ABONA,"RW, PP, FFP",,,
12.09034/GC,"FRIGONORTE, S.L.","Palmas, Las/GALDAR",PP,,,
12.09111/GC,PLAYA DE MELENARA DE MARINEROS S.C.L.,"Palmas, Las/TELDE",AH,,,
12.09570/GC,"UNION MARTIN, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)","RW, PP, FFP",,,
12.09962/GC,"HERMET ALIMENTACION, S.L.","Palmas, Las/AGÜIMES",PP,,,
12.10018/GC,"PESCA HERCULINA, S.A. - B/F FREIREMAR UNO","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",FV,,,
12.10471/TF,"SANTOS SANCHEZ, EULALIA",Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,CS,,,
12.10530/GC,"Remacan Canarias, S.L.U.","Palmas, Las/AGÜIMES","CS, RW, DC, FFP",,,
14.00616/GC,"Granja La Cuesta, S. L.","Palmas, Las/TELDE",EPC,,,
14.00744/GC,"Granja Avícola Teror, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",EPC,,,
14.00745/GC,"DIAZ TEJERA, JUANA","Palmas, Las/INGENIO",EPC,,,
14.00777/TF,C.B. GRANJA AVICOLA EL TARO,Santa Cruz de Tenerife/GÜIMAR,EPC,,,
14.00801/GC,"GRANJA EL PEDREGAL, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",EPC,,,
14.00845/TF,"LUIS HERNANDEZ, OSCAR",Santa Cruz de Tenerife/OROTAVA (LA),EPC,,,
14.00850/TF,GRANJAS EL ROQUE S.L.,Santa Cruz de Tenerife/GUANCHA (LA),EPC,,,
14.00864/GC,GRANJA AVICOLA MORALES S.L.,"Palmas, Las/TEGUISE","CS, EPC",,,
14.00877/GC,"González Montesdeoca, Fulgencio","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",EPC,,,
14.00896/GC,"GRANJA SAN ANDRES, S.L.L.","Palmas, Las/MOGAN",EPC,,,
14.00942/GC,"HERODI, S.C.P.","Palmas, Las/INGENIO",EPC,,,
14.00945/TF,María Eulalia Pérez Delgado,Santa Cruz de Tenerife/GÜIMAR,EPC,,,
14.00946/TF,C.B. GRANJA CASTRO MARRERO,Santa Cruz de Tenerife/CANDELARIA,EPC,,,
14.00950/GC,"CABRERA SANTANA, JESUS ALFONSO","Palmas, Las/GALDAR",EPC,,,
14.00954/GC,"VEGA GONZALEZ, JUAN","Palmas, Las/TELDE",EPC,,,
14.00960/GC,GRANJA AVICOLA ALDEANA S.L.,"Palmas, Las/ALDEA DE SAN NICOLAS (LA)",EPC,,,
14.00974/TF,S.A.T. 414/05. GRANJA CERCADO LA PAZ Y PLACERES.,Santa Cruz de Tenerife/OROTAVA (LA),EPC,,,
14.00982/TF,RODRIGUEZ BARRETO ANTONIO,Santa Cruz de Tenerife/TEGUESTE,EPC,,,
14.01026/TF,"GRANJA SAN ANTONIO, S.L.",Santa Cruz de Tenerife/SAN JUAN DE LA RAMBLA,EPC,,,
14.01082/GC,"INDUSTRIA AVICOLA AGRARIA DE LANZAROTE, S.L.","Palmas, Las/ARRECIFE",EPC,,,
14.01113/TF,"Granja Avícola El Valle, SL",Santa Cruz de Tenerife/ARONA,EPC,,,
14.01156/TF,"GRANJA AVICOLA SANTA BARBARA, SL",Santa Cruz de Tenerife/ICOD DE LOS VINOS,EPC,,,
14.01173/GC,María del Rosario Sánchez Gutiérrez,"Palmas, Las/TINAJO","CS, EPC",,,
14.01174/GC,"GRANJA AVICOLA SAN ANTONIO, C.B.","Palmas, Las/INGENIO",EPC,,,
14.01237/TF,"EXPOSITO BENCOMO, CARLOS",Santa Cruz de Tenerife/MATANZA DE ACENTEJO (LA),EPC,,,
14.01248/TF,"GRANJA AVICOLA EL PILAR, S.L.L.",Santa Cruz de Tenerife/GÜIMAR,EPC,,,
14.01249/TF,"Avícolas de Tejina, S.L.",Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA,EPC,,,
14.01293/TF,José Manuel Hernández Gutiérrez,Santa Cruz de Tenerife/OROTAVA (LA),EPC,,,
14.01329/GC,"GRANJA LA PARDILLA, S.L.","Palmas, Las/INGENIO",EPC,,,
14.01341/GC,"Alonso Navarro, Marta del Pino","Palmas, Las/VEGA DE SAN MATEO",EPC,,,
14.01480/GC,"GRANJA AVICOLA SAN ANTONIO, C.B.","Palmas, Las/INGENIO",EPC,,,
14.01486/GC,"Rodriguez Cabrera, Juan Jesús","Palmas, Las/TEGUISE",EPC,,,
14.01537/TF,"Granja Conrado Núñez, S.L.",Santa Cruz de Tenerife/TEGUESTE,EPC,,,
14.01561/GC,Pilar Déniz Hernández,"Palmas, Las/ARUCAS",EPC,,,
14.01595/TF,C.B. SECUNDINO DONATE E HIJO,Santa Cruz de Tenerife/REALEJOS (LOS),CS,,,
14.01645/TF,"GONZALEZ RODRIGUEZ, Mª. CANDELARIA",Santa Cruz de Tenerife/ICOD DE LOS VINOS,EPC,,,
14.01805/TF,"AVICONOR, S.L.",Santa Cruz de Tenerife/BARLOVENTO,EPC,,,
14.01813/TF,C.B. GRANJA TIGAIGA,Santa Cruz de Tenerife/REALEJOS (LOS),EPC,,,
14.01822/TF,"GRANJA AVICOLA EL DESIERTO, S.L.",Santa Cruz de Tenerife/GRANADILLA DE ABONA,EPC,,,
14.01856/GC,"CENTRO ESPECIAL DE EMPLEO GRANJA ADISFUER, S.L.","Palmas, Las/PUERTO DEL ROSARIO",EPC,,,
15.00036/GC,"GRUPO KALISE, S.A.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,,
15.00110/GC,"Quesos San Mateo, S.L.","Palmas, Las/VEGA DE SAN MATEO","CS, PP",,,
15.00335/TF,"CELGAN, S.A.",Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA,"CS, PP",,,
15.00414/TF,"SCHREIBER DE CANARIAS, SL",Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,PP,,,
15.00556/TF,"JOSE SANCHEZ PEÑATE, S.A.",Santa Cruz de Tenerife/CANDELARIA,PP,,,
15.00852/GC,"Grupo Ganaderos de Fuerteventura, S. L.","Palmas, Las/TUINEJE",PP,,,
15.00897/TF,SOCIEDAD COOPERATIVA LIMITADA GANADEROS DE EL HIERRO,Santa Cruz de Tenerife/VALVERDE,PP,,,
15.01068/GC,S.A.T. QUESO FLOR VALSEQUILLO,"Palmas, Las/VALSEQUILLO DE GRAN CANARIA",PP,,,
15.01131/GC,"Ganaranjo, S.L.U.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,,
15.01156/GC,"De León Ramirez, Jerónimo","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,,
15.01302/TF,"AHUMADO TIPICO DE QUESOS CANARIOS, S.L. (AHUTICAN .S.L)",Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,PP,,,
15.01303/TF,"Palvidaques, SL",Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,"CS, RW",,,
15.01485/GC,"Lomo de La Palma, S.L.","Palmas, Las/TELDE",PP,,,
15.01514/GC,"QUESOS GUIA, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,,
15.01563/GC,"QUESERIA EL FARO, S.L.","Palmas, Las/TEGUISE",PP,,,
15.02137/GC,"MANUEL HERNANDEZ BOLAÑOS, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,,
15.02457/GC,"QUESOS CASEROS DE VALLESECO, S.L.","Palmas, Las/VALLESECO",PP,,,
15.02645/TF,"HARRIS LESCHI, JUAN CARLOS",Santa Cruz de Tenerife/FASNIA,PP,,,
15.02700/GC,"Hijos de Moisés Rodríguez González, S.A.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",RW,,,
15.02908/GC,"Quesos El Parral, S.L.","Palmas, Las/INGENIO",PP,,,
15.02910/TF,"Flor de Güímar 1992, S.L.U.",Santa Cruz de Tenerife/GÜIMAR,PP,,,
15.02946/GC,"ROCHA DOMINGUEZ, TOMAS","Palmas, Las/TELDE",PP,,,
15.02953/GC,"Frey Grimm, Carlos","Palmas, Las/AGAETE","PP, CC",,,
15.02975/GC,"CABRERA PEÑA, ROQUE","Palmas, Las/ANTIGUA",PP,,,
15.02976/GC,"HERNANDEZ CERDEÑA, JOSE JUAN","Palmas, Las/BETANCURIA",PP,,,
15.03025/TF,"Unitec Refrigeración Sur, S.L.",Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA,PP,,,
15.03062/GC,"RODOBRIG, S.L.","Palmas, Las/PUERTO DEL ROSARIO",PP,,,
15.03084/GC,"ARQUEMA, S.L.","Palmas, Las/TUINEJE",PP,,,
15.03090/TF,YAIZA PAIS PÉREZ,Santa Cruz de Tenerife/LLANOS DE ARIDANE (LOS),PP,,,
15.03091/GC,"Ortega Rodríguez, Antonio José","Palmas, Las/ANTIGUA",PP,,,
15.03092/GC,"GUERRA SANTANA, GUZMAN","Palmas, Las/PUERTO DEL ROSARIO",PP,,,
15.03095/GC,"QUESOS TETIR, S.L.","Palmas, Las/PUERTO DEL ROSARIO",PP,,,
15.03132/GC,"Ganadería Quesos Felipa La Montañeta, S.L.","Palmas, Las/PUERTO DEL ROSARIO",PP,,,
15.03134/TF,Alberto Ruiz Sánchez,Santa Cruz de Tenerife/ICOD DE LOS VINOS,PP,,,
15.03142/TF,Luis Sergio Plata Arrocha,Santa Cruz de Tenerife/VILLA DE MAZO,PP,,,
15.03143/TF,"PLASENCIA CAMACHO, CARMEN ROSA",Santa Cruz de Tenerife/VILLA DE MAZO,PP,,,
15.03155/TF,ALVI TAYNETO VERDE DORTA,Santa Cruz de Tenerife/BUENAVISTA DEL NORTE,PP,,,
15.03156/GC,"PEREZ ALONSO, JULIAN","Palmas, Las/TUINEJE",PP,,,
15.03157/GC,HIJOS DE VERA MONTELONGO S.L.,"Palmas, Las/OLIVA (LA)",PP,,,
15.03160/TF,CRISTEL GUTIÉRREZ RODRÍGUEZ,Santa Cruz de Tenerife/BREÑA ALTA,PP,,,
15.03167/TF,SOCIEDAD COOPERATIVA DEL CAMPO LA CANDELARIA,Santa Cruz de Tenerife/OROTAVA (LA),PP,,,
15.03172/TF,"GUARAPO COLOMBINA, S.L.U",Santa Cruz de Tenerife/SAN SEBASTIAN DE LA GOMERA,PP,,,
15.03174/GC,"ROSARIO EXPÓSITO, MACARENA","Palmas, Las/AGAETE",PP,,,
15.03177/TF,"ACOSTA HERNANDEZ, PAULA",Santa Cruz de Tenerife/PASO (EL),PP,,,
15.03181/TF,"FERNANDEZ SANCHEZ, ELIZALDO",Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03182/TF,"LORENZO ALVAREZ, ELIZABETH",Santa Cruz de Tenerife/BREÑA ALTA,PP,,,
15.03183/TF,RODRIGUEZ ZERPA JUAN VICENTE,Santa Cruz de Tenerife/VILLA DE MAZO,PP,,,
15.03186/GC,"FRAGIEL VERA, ANTONIO","Palmas, Las/PUERTO DEL ROSARIO",PP,,,
15.03190/TF,"SAGGEL, BERTHOLD MARIA",Santa Cruz de Tenerife/VILLA DE MAZO,PP,,,
15.03196/TF,"CASTRO RODRIGUEZ, MANUEL",Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03201/TF,"BRITO RODRIGUEZ, SANTIAGO",Santa Cruz de Tenerife/BREÑA ALTA,PP,,,
15.03212/TF,"LORENZO PEREZ, MAMERTO",Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03216/TF,"MARTIN AFONSO, ANTONIO LUIS",Santa Cruz de Tenerife/LLANOS DE ARIDANE (LOS),PP,,,
15.03222/TF,"CANO RODRIGUEZ, FRANCISCO",Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,PP,,,
15.03230/TF,"HERNANDEZ ANGEL, CECILIO JESUS",Santa Cruz de Tenerife/SANTA CRUZ DE TENERIFE,PP,,,
15.03231/TF,JUAN ANTONIO HERNANDEZ IBARRIA,Santa Cruz de Tenerife/PUNTALLANA,PP,,,
15.03240/TF,"CACERES BRITO, HONORIO",Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03241/TF,PEREZ LORENZO JOSE CARLOS,Santa Cruz de Tenerife/TIJARAFE,PP,,,
15.03244/TF,Gloria Sofía Godoy Porto,Santa Cruz de Tenerife/SAN SEBASTIAN DE LA GOMERA,PP,,,
15.03253/TF,Antonia María Rodríguez Pérez,Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03257/TF,Juan Lorenzo Rodríguez,Santa Cruz de Tenerife/PUNTAGORDA,PP,,,
15.03261/TF,ARMAS LEAL JULIO CESAR,Santa Cruz de Tenerife/PASO (EL),PP,,,
15.03269/GC,"MARTEL PERDOMO, LUIS","Palmas, Las/AGÜIMES",PP,,,
15.03271/GC,"CASTILLO RAVELO, JUANA","Palmas, Las/TUINEJE",PP,,,
15.03275/GC,"GONZALEZ QUINTANA, CORALIA MARIA","Palmas, Las/GALDAR",PP,,,
15.03290/TF,"RODRIGUEZ RODRIGUEZ, TIMOTEO",Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03296/TF,Alejandro Rodríguez Jerónimo,Santa Cruz de Tenerife/SAN SEBASTIAN DE LA GOMERA,PP,,,
15.03299/GC,"Calcines Hernández, María del Pino","Palmas, Las/PAJARA",PP,,,
15.03304/GC,"Mendoza Sosa, Adriana María","Palmas, Las/AGAETE",PP,,,
15.03319/GC,"CABRERA HERNANDEZ, NAZARET","Palmas, Las/PAJARA",PP,,,
15.03320/TF,"MARTIN MELO, JUAN ALEXIS",Santa Cruz de Tenerife/GRANADILLA DE ABONA,PP,,,
15.03330/TF,"QUESERÍA MONTESDEOCA, S.L.",Santa Cruz de Tenerife/ADEJE,PP,,,
15.03336/TF,"DONIZ CABRERA, FIDEL",Santa Cruz de Tenerife/VICTORIA DE ACENTEJO (LA),PP,,,
15.03340/GC,"SUAREZ DEL PINO, SONIA MARIA","Palmas, Las/VALSEQUILLO DE GRAN CANARIA",PP,,,
15.03341/GC,"ROSARIO SUAREZ, PEDRO","Palmas, Las/AGAETE",PP,,,
15.03346/TF,Ana María Díaz Álvarez,Santa Cruz de Tenerife/BUENAVISTA DEL NORTE,PP,,,
15.03357/GC,"BENITEZ SANTANA, PEDRO","Palmas, Las/TELDE",PP,,,
15.03360/GC,"GONZALEZ GONZALEZ, JOSEFA","Palmas, Las/GALDAR",PP,,,
15.03364/TF,"DARIAS HERNANDEZ, ALEJANDRINA",Santa Cruz de Tenerife/SAN SEBASTIAN DE LA GOMERA,PP,,,
15.03380/TF,José Eduardo Rodríguez Cruz,Santa Cruz de Tenerife/SANTA CRUZ DE LA PALMA,PP,,,
15.03384/GC,"Negrín López, Asunción del Pilar","Palmas, Las/SAN BARTOLOME DE TIRAJANA",PP,,,
15.03385/GC,"ORTEGA SUAREZ, JOSE MIGUEL","Palmas, Las/SAN BARTOLOME DE TIRAJANA",PP,,,
15.03392/TF,"MORERA HERNANDEZ, IRENE",Santa Cruz de Tenerife/VILLA DE MAZO,PP,,,
15.03394/TF,CB QUESOS REYES,Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03402/TF,"GUERRA HERNANDEZ, DIGNA",Santa Cruz de Tenerife/PUNTALLANA,PP,,,
15.03403/TF,"LORENZO SANCHEZ, DIONISIO",Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03411/GC,María Desiree Jiménez Armas,"Palmas, Las/OLIVA (LA)",PP,,,
15.03414/TF,Manuel Mesa Martín,Santa Cruz de Tenerife/ALAJERO,PP,,,
15.03423/GC,MARCIAL DE LEON VALIDO,"Palmas, Las/OLIVA (LA)",PP,,,
15.03424/GC,"HERNÁNDEZ MÉNDEZ, LORENZO","Palmas, Las/PAJARA",PP,,,
15.03425/GC,"MORENO ESPINEL, ANDRES","Palmas, Las/OLIVA (LA)",PP,,,
15.03434/GC,"Rodríguez Martín, Domingo Javier","Palmas, Las/TUINEJE",PP,,,
15.03435/GC,"PEÑA GUERRA, BERNARDO","Palmas, Las/PUERTO DEL ROSARIO",PP,,,
15.03439/GC,"CABRERA GONZALEZ, LORENZO","Palmas, Las/TUINEJE",PP,,,
15.03452/TF,"MORERA TRIANA, JOSE MANUEL",Santa Cruz de Tenerife/VILLA DE MAZO,PP,,,
15.03453/GC,"RAMOS GONZALEZ, LUCIANO","Palmas, Las/GALDAR",PP,,,
15.03454/GC,"SANTANA MARTEL, EZEQUIEL","Palmas, Las/VALSEQUILLO DE GRAN CANARIA",PP,,,
15.03455/GC,"CUADRAS DE LA SOLANA, S.L.","Palmas, Las/ANTIGUA",PP,,,
15.03456/GC,"CANO CABRERA, EVA","Palmas, Las/TUINEJE",PP,,,
15.03460/TF,"CRUZ PEREZ, MIGUEL ANGEL",Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03464/TF,"FUENTES RODRIGUEZ, MARIA CARMEN",Santa Cruz de Tenerife/GARAFIA,PP,,,
15.03467/TF,Brenda Rodríguez Concepción,Santa Cruz de Tenerife/BARLOVENTO,PP,,,
15.03475/GC,"GANADERIA LA PARED, S.L.","Palmas, Las/PAJARA",PP,,,
15.03476/GC,"PERDOMO FERNANDEZ, OSCAR DAVID","Palmas, Las/PUERTO DEL ROSARIO",PP,,,
15.03478/GC,"MARTIN SANCHEZ, RAFAEL","Palmas, Las/TUINEJE",PP,,,
